JOBID: MTDsites 65b6cb3; 223.157.12.26 2020-02-26/03:02:15 unknown 1abrB
JOBID: MTDsites 39634c5; 223.157.12.26 2020-02-26/03:02:48 unknown 1abrB
JOBID: MTDsites f031f1f; 223.157.12.26 2020-02-26/03:02:17 unknown 1abrB
JOBID: MTDsites 70704b7; 223.157.12.26 2020-02-26/03:02:35 unknown 1abrB
JOBID: MTDsites e71eb4c; 223.157.12.26 2020-02-26/03:02:48 unknown 1abrB
JOBID: MTDsites f3c2b26; 223.157.12.26 2020-02-26/03:02:26 unknown 1abrB
JOBID: MTDsites 1933e81; 223.157.12.26 2020-02-26/04:02:12 unknown 1abrB
JOBID: MTDsites 321897a; 223.157.12.26 2020-02-26/04:02:51 unknown 1abrB
JOBID: MTDsites e490d13; 14.139.160.235 2020-02-27/07:02:25 unknown 1gx4A.fasta
JOBID: MTDsites f9e4178; 58.243.254.64 2020-03-03/07:03:55 hxx882@sina.com plos_one_#32_repeat_region.fasta
JOBID: MTDsites 6e1b559; 141.35.40.51 2020-03-03/12:03:21 unknown 2ykg.fasta
